Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
ARHGAP44	1	0	0	0	0	1	1	1
ARHGAP6	1	0	0	0	0	1	1	1
ARHGEF1	1	0	0	0	0	1	1	1
ARHGEF10	1	0	0	0	0	1	1	1
ARHGEF3	1	0	0	0	0	1	1	1
ARHGEF40	1	0	0	0	0	1	1	1
ARHGEF5	1	0	0	0	0	1	1	1
ARID2	0	1	0	0	0	1	1	1
ARIH2	1	0	0	0	0	1	1	1
ARL13B	1	0	0	0	0	1	1	1
ARL6IP4	1	0	0	0	0	1	1	1
ARMC5	1	0	0	0	0	1	1	1
ARMC8	0	0	0	1	0	1	1	1
ARPP21	1	0	0	0	0	1	1	1
ARSF	1	0	0	0	0	1	1	1
ASAP1	1	0	0	0	0	1	1	1
ASB11	1	0	0	0	0	1	1	1
ASB12	1	0	0	0	0	1	1	1
ASCC3	1	0	0	0	0	1	1	1
ASIC5	1	0	0	0	0	1	1	1
ASPRV1	1	0	0	0	0	1	1	1
ASTN2	1	0	0	0	0	1	1	1
ASXL2	1	0	0	0	0	1	1	1
ATAD3A	1	0	0	0	0	1	1	1
ATF4	1	0	0	0	0	1	1	1
ATF7IP	1	0	0	0	0	1	1	1
ATG2A	1	0	0	0	0	1	1	1
ATG4A	1	0	0	0	0	1	1	1
ATG9B	1	0	0	0	0	1	1	1
ATM	1	0	0	0	0	1	1	1
ATP10A	1	0	0	0	0	1	1	1
ATP10D	1	0	0	0	0	1	1	1
ATP13A5	1	0	0	0	0	1	1	1
ATP1A3	1	0	0	0	0	1	1	1
ATP1A4	1	0	0	0	0	1	1	1
ATP2B4	1	0	0	0	0	1	1	1
ATP5G1	1	0	0	0	0	1	1	1
ATP6V0A1	1	0	0	0	0	1	1	1
ATP6V0A4	1	0	0	0	0	1	1	1
ATPAF1	1	0	0	0	0	1	1	1
ATRIP	1	0	0	0	0	1	1	1
ATRX	0	1	0	0	0	1	1	1
AWAT2	1	0	0	0	0	1	1	1
AXL	1	0	0	0	0	1	1	1
B3GALTL	1	0	0	0	0	1	1	1
B3GNT8	1	0	0	0	0	1	1	1
BAAT	1	0	0	0	0	1	1	1
BACH2	1	0	0	0	0	1	1	1
BAIAP2L1	1	0	0	0	0	1	1	1
BARHL2	1	0	0	0	0	1	1	1
BAZ2B	1	0	0	0	0	1	1	1
BCAP29	1	0	0	0	0	1	1	1
BCL11A	1	0	0	0	0	1	1	1
BCL2A1	1	0	0	0	0	1	1	1
BCL3	1	0	0	0	0	1	1	1
BEGAIN	1	0	0	0	0	1	1	1
BEST1	1	0	0	0	0	1	1	1
BFAR	1	0	0	0	0	1	1	1
BHLHB9	1	0	0	0	0	1	1	1
BIRC2	1	0	0	0	0	1	1	1
BIRC6	0	1	0	0	0	1	1	1
BIRC7	1	0	0	0	0	1	1	1
BIRC8	0	1	0	0	0	1	1	1
BMP5	1	0	0	0	0	1	1	1
BMP7	1	0	0	0	0	1	1	1
BMPER	1	0	0	0	0	1	1	1
BMS1	1	0	0	0	0	1	1	1
BNC1	1	0	0	0	0	1	1	1
BNC2	1	0	0	0	0	1	1	1
BPIFA1	1	0	0	0	0	1	1	1
BPIFB4	1	0	0	0	0	1	1	1
BPIFC	1	0	0	0	0	1	1	1
BPTF	0	1	0	0	0	1	1	1
BRAF	1	0	0	0	0	1	1	1
BRAP	1	0	0	0	0	1	1	1
BRD2	0	1	0	0	0	1	1	1
BRD3	1	0	0	0	0	1	1	1
BRD4	1	0	0	0	0	1	1	1
BRINP1	1	0	0	0	0	1	1	1
BRINP2	1	0	0	0	0	1	1	1
BRSK2	1	0	0	0	0	1	1	1
BRWD3	0	1	0	0	0	1	1	1
BTBD9	1	0	0	0	0	1	1	1
BTK	0	1	0	0	0	1	1	1
C10orf107	1	0	0	0	0	1	1	1
C11orf31	1	0	0	0	0	1	1	1
C11orf84	1	0	0	0	0	1	1	1
C11orf86	1	0	0	0	0	1	1	1
C11orf88	1	0	0	0	0	1	1	1
C12orf66	1	0	0	0	0	1	1	1
C14orf37	1	0	0	0	0	1	1	1
C15orf39	0	1	0	0	0	1	1	1
C15orf43	1	0	0	0	0	1	1	1
C17orf104	1	0	0	0	0	1	1	1
C17orf89	0	0	1	0	0	1	1	1
C18orf54	1	0	0	0	0	1	1	1
C19orf26	1	0	0	0	0	1	1	1
C19orf40	1	0	0	0	0	1	1	1
C19orf80	1	0	0	0	0	1	1	1
C1QBP	1	0	0	0	0	1	1	1
C1orf101	1	0	0	0	0	1	1	1
C1orf112	1	0	0	0	0	1	1	1
C1orf27	1	0	0	0	0	1	1	1
C1orf61	1	0	0	0	0	1	1	1
C20orf194	0	0	0	1	0	1	1	1
C3	1	0	0	0	0	1	1	1
C4A	1	0	0	0	0	1	1	1
C5orf46	1	0	0	0	0	1	1	1
C5orf47	1	0	0	0	0	1	1	1
C6	1	0	0	0	0	1	1	1
C6orf223	1	0	0	0	0	1	1	1
C6orf48	1	0	0	0	0	1	1	1
C6orf62	1	0	0	0	0	1	1	1
C7	0	1	0	0	0	1	1	1
C7orf61	1	0	0	0	0	1	1	1
C8A	1	0	0	0	0	1	1	1
C9orf47	1	0	0	0	0	1	1	1
CABIN1	0	1	0	0	0	1	1	1
CABP2	1	0	0	0	0	1	1	1
CACNA1A	1	0	0	0	0	1	1	1
CACNA1C	1	0	0	0	0	1	1	1
CACNA1D	1	0	0	0	0	1	1	1
CACNA1E	1	0	0	0	0	1	1	1
CACNA1F	1	0	0	0	0	1	1	1
CACNA1G	1	0	0	0	0	1	1	1
CACNA2D1	1	0	0	0	0	1	1	1
CACNA2D2	1	0	0	0	0	1	1	1
CACNA2D3	1	0	0	0	0	1	1	1
CACNA2D4	1	0	0	0	0	1	1	1
CACNG7	1	0	0	0	0	1	1	1
CACTIN	1	0	0	0	0	1	1	1
CAD	1	0	0	0	0	1	1	1
CADM1	1	0	0	0	0	1	1	1
CADM2	1	0	0	0	0	1	1	1
CADM3	1	0	0	0	0	1	1	1
CADPS	1	0	0	0	0	1	1	1
CALCR	1	0	0	0	0	1	1	1
CALHM2	1	0	0	0	0	1	1	1
CALY	1	0	0	0	0	1	1	1
CAMK2G	1	0	0	0	0	1	1	1
CAMSAP2	1	0	0	0	0	1	1	1
CAPN12	1	0	0	0	0	1	1	1
CAPS2	1	0	0	0	0	1	1	1
CARD9	1	0	0	0	0	1	1	1
CASC1	0	1	0	0	0	1	1	1
CASC3	1	0	0	0	0	1	1	1
CASD1	0	1	0	0	0	1	1	1
CASP1	0	1	0	0	0	1	1	1
CASR	1	0	0	0	0	1	1	1
CAST	1	0	0	0	0	1	1	1
CBFA2T3	1	0	0	0	0	1	1	1
CBFB	1	0	0	0	0	1	1	1
CBLB	0	1	0	0	0	1	1	1
CBLN2	1	0	0	0	0	1	1	1
CBWD3	1	0	0	0	0	1	1	1
CBWD7	1	0	0	0	0	1	1	1
CBX6	1	0	0	0	0	1	1	1
CCDC130	1	0	0	0	0	1	1	1
CCDC132	1	0	0	0	0	1	1	1
CCDC158	1	0	0	0	0	1	1	1
CCDC17	1	0	0	0	0	1	1	1
CCDC170	0	1	0	0	0	1	1	1
CCDC171	1	0	0	0	0	1	1	1
CCDC178	0	1	0	0	0	1	1	1
CCDC180	1	0	0	0	0	1	1	1
CCDC181	1	0	0	0	0	1	1	1
CCDC185	1	0	0	0	0	1	1	1
CCDC39	1	0	0	0	0	1	1	1
CCDC47	1	0	0	0	0	1	1	1
CCDC57	1	0	0	0	0	1	1	1
CCDC60	0	1	0	0	0	1	1	1
CCDC81	0	1	0	0	0	1	1	1
CCDC89	1	0	0	0	0	1	1	1
CCER1	1	0	0	0	0	1	1	1
CCNC	1	0	0	0	0	1	1	1
CCND2	1	0	0	0	0	1	1	1
CCND3	1	0	0	0	0	1	1	1
CCP110	1	0	0	0	0	1	1	1
CCR3	1	0	0	0	0	1	1	1
CCT6A	1	0	0	0	0	1	1	1
CD177	1	0	0	0	0	1	1	1
CD2	1	0	0	0	0	1	1	1
CD200	1	0	0	0	0	1	1	1
CD300LB	1	0	0	0	0	1	1	1
CD320	1	0	0	0	0	1	1	1
CD3D	1	0	0	0	0	1	1	1
CD68	1	0	0	0	0	1	1	1
CD74	0	1	0	0	0	1	1	1
CD8A	1	0	0	0	0	1	1	1
CDAN1	1	0	0	0	0	1	1	1
CDC16	1	0	0	0	0	1	1	1
CDC25B	1	0	0	0	0	1	1	1
CDC42BPG	1	0	0	0	0	1	1	1
CDH13	1	0	0	0	0	1	1	1
CDH18	0	1	0	0	0	1	1	1
CDH22	1	0	0	0	0	1	1	1
CDH23	1	0	0	0	0	1	1	1
CDH7	1	0	0	0	0	1	1	1
CDH8	0	1	0	0	0	1	1	1
CDK11B	1	0	0	0	0	1	1	1
CDK12	1	0	0	0	0	1	1	1
CDK14	1	0	0	0	0	1	1	1
CDK5R1	1	0	0	0	0	1	1	1
CDKL1	1	0	0	0	0	1	1	1
CDKL2	1	0	0	0	0	1	1	1
CELA3B	1	0	0	0	0	1	1	1
CELSR3	1	0	0	0	0	1	1	1
CENPJ	1	0	0	0	0	1	1	1
CEP112	0	0	0	1	0	1	1	1
CEP128	1	0	0	0	0	1	1	1
CEP295	1	0	0	0	0	1	1	1
CEP41	1	0	0	0	0	1	1	1
CEPT1	1	0	0	0	0	1	1	1
CERS6	1	0	0	0	0	1	1	1
CES1	1	0	0	0	0	1	1	1
CES5A	1	0	0	0	0	1	1	1
CFAP43	1	0	0	0	0	1	1	1
CFAP52	1	0	0	0	0	1	1	1
CFH	1	0	0	0	0	1	1	1
CGN	1	0	0	0	0	1	1	1
CHD1	1	0	0	0	0	1	1	1
CHD2	0	1	0	0	0	1	1	1
CHEK2	0	1	0	0	0	1	1	1
CHKA	1	0	0	0	0	1	1	1
CHM	1	0	0	0	0	1	1	1
CHMP2B	1	0	0	0	0	1	1	1
CHRNA6	1	0	0	0	0	1	1	1
CHST11	1	0	0	0	0	1	1	1
CHST5	1	0	0	0	0	1	1	1
CHST6	1	0	0	0	0	1	1	1
CHST9	1	0	0	0	0	1	1	1
CHTF18	1	0	0	0	0	1	1	1
CIDEB	1	0	0	0	0	1	1	1
CISD2	1	0	0	0	0	1	1	1
CISH	1	0	0	0	0	1	1	1
CIT	1	0	0	0	0	1	1	1
CLASP1	1	0	0	0	0	1	1	1
CLASP2	1	0	0	0	0	1	1	1
CLCA2	1	0	0	0	0	1	1	1
CLCN1	1	0	0	0	0	1	1	1
CLCN2	1	0	0	0	0	1	1	1
CLCN3	1	0	0	0	0	1	1	1
CLEC1A	0	1	0	0	0	1	1	1
CLEC7A	0	1	0	0	0	1	1	1
CLMN	1	0	0	0	0	1	1	1
CLPSL1	1	0	0	0	0	1	1	1
CLTB	1	0	0	0	0	1	1	1
CMYA5	0	1	0	0	0	1	1	1
CNGB1	1	0	0	0	0	1	1	1
CNOT2	1	0	0	0	0	1	1	1
CNRIP1	1	0	0	0	0	1	1	1
CNTLN	1	0	0	0	0	1	1	1
CNTNAP2	1	0	0	0	0	1	1	1
COASY	1	0	0	0	0	1	1	1
COCH	1	0	0	0	0	1	1	1
COG4	0	1	0	0	0	1	1	1
COL12A1	1	0	0	0	0	1	1	1
COL14A1	1	0	0	0	0	1	1	1
COL16A1	1	0	0	0	0	1	1	1
COL17A1	1	0	0	0	0	1	1	1
COL1A1	1	0	0	0	0	1	1	1
COL24A1	1	0	0	0	0	1	1	1
COL4A1	1	0	0	0	0	1	1	1
COL4A3	1	0	0	0	0	1	1	1
COL4A5	1	0	0	0	0	1	1	1
COL5A3	1	0	0	0	0	1	1	1
COL6A1	1	0	0	0	0	1	1	1
COL6A3	1	0	0	0	0	1	1	1
COL9A1	1	0	0	0	0	1	1	1
COLEC12	1	0	0	0	0	1	1	1
COMP	1	0	0	0	0	1	1	1
CPEB4	1	0	0	0	0	1	1	1
CPLX3	1	0	0	0	0	1	1	1
CPNE2	1	0	0	0	0	1	1	1
CPNE8	1	0	0	0	0	1	1	1
CPS1	1	0	0	0	0	1	1	1
CPZ	1	0	0	0	0	1	1	1
CRB1	1	0	0	0	0	1	1	1
CRIP1	1	0	0	0	0	1	1	1
CRISP3	1	0	0	0	0	1	1	1
CRISPLD1	1	0	0	0	0	1	1	1
CRLF3	1	0	0	0	0	1	1	1
CRMP1	0	1	0	0	0	1	1	1
CRTAM	1	0	0	0	0	1	1	1
CRTC3	1	0	0	0	0	1	1	1
CRYBB3	1	0	0	0	0	1	1	1
CRYGN	1	0	0	0	0	1	1	1
CSDE1	0	1	0	0	0	1	1	1
CSN3	1	0	0	0	0	1	1	1
CSNK1A1	1	0	0	0	0	1	1	1
CSNK1A1L	1	0	0	0	0	1	1	1
CSNK1G3	0	1	0	0	0	1	1	1
CSNK2A3	1	0	0	0	0	1	1	1
CSNK2B	1	0	0	0	0	1	1	1
CSPG4	1	0	0	0	0	1	1	1
CST3	1	0	0	0	0	1	1	1
CT55	1	0	0	0	0	1	1	1
CTD-2207O23.12	1	0	0	0	0	1	1	1
CTDSP2	1	0	0	0	0	1	1	1
CTNNA2	1	0	0	0	0	1	1	1
CTNNA3	1	0	0	0	0	1	1	1
CTPS2	1	0	0	0	0	1	1	1
CTR9	1	0	0	0	0	1	1	1
CTRC	1	0	0	0	0	1	1	1
CTSH	1	0	0	0	0	1	1	1
CTSL	0	1	0	0	0	1	1	1
CUL1	1	0	0	0	0	1	1	1
CUL4A	1	0	0	0	0	1	1	1
CUL7	1	0	0	0	0	1	1	1
CUX2	1	0	0	0	0	1	1	1
CWC25	1	0	0	0	0	1	1	1
CX3CL1	1	0	0	0	0	1	1	1
CXCR2	0	0	0	1	0	1	1	1
CYB5R4	1	0	0	0	0	1	1	1
CYBB	0	1	0	0	0	1	1	1
CYHR1	1	0	0	0	0	1	1	1
CYLC1	1	0	0	0	0	1	1	1
CYP11B1	1	0	0	0	0	1	1	1
CYP27C1	1	0	0	0	0	1	1	1
CYP2C19	1	0	0	0	0	1	1	1
CYP2C8	1	0	0	0	0	1	1	1
CYP2J2	1	0	0	0	0	1	1	1
CYP46A1	1	0	0	0	0	1	1	1
CYP4F3	1	0	0	0	0	1	1	1
CYSLTR1	0	0	0	0	1	1	1	1
CYSRT1	1	0	0	0	0	1	1	1
CYTH3	1	0	0	0	0	1	1	1
DAB1	1	0	0	0	0	1	1	1
DACH1	1	0	0	0	0	1	1	1
DAGLA	1	0	0	0	0	1	1	1
DAPK1	1	0	0	0	0	1	1	1
DAPP1	1	0	0	0	0	1	1	1
DAZAP1	0	1	0	0	0	1	1	1
DCAF6	1	0	0	0	0	1	1	1
DCST1	1	0	0	0	0	1	1	1
DDR2	1	0	0	0	0	1	1	1
DDX25	1	0	0	0	0	1	1	1
DDX46	1	0	0	0	0	1	1	1
DDX60	1	0	0	0	0	1	1	1
DEFB114	1	0	0	0	0	1	1	1
DEK	1	0	0	0	0	1	1	1
DENND5B	1	0	0	0	0	1	1	1
DEPDC5	1	0	0	0	0	1	1	1
DES	1	0	0	0	0	1	1	1
DGKD	1	0	0	0	0	1	1	1
DGKI	1	0	0	0	0	1	1	1
DGKZ	1	0	0	0	0	1	1	1
DHRS12	1	0	0	0	0	1	1	1
DHRS2	1	0	0	0	0	1	1	1
DHRS7B	1	0	0	0	0	1	1	1
DHX38	1	0	0	0	0	1	1	1
DIDO1	1	0	0	0	0	1	1	1
DIO2	1	0	0	0	0	1	1	1
DIP2C	1	0	0	0	0	1	1	1
DISC1	1	0	0	0	0	1	1	1
DIXDC1	0	0	0	1	0	1	1	1
DLC1	1	0	0	0	0	1	1	1
DLG2	1	0	0	0	0	1	1	1
DLGAP1	0	0	0	1	0	1	1	1
DLGAP2	1	0	0	0	0	1	1	1
DLX4	1	0	0	0	0	1	1	1
DLX6	1	0	0	0	0	1	1	1
DMP1	1	0	0	0	0	1	1	1
DNAH1	1	0	0	0	0	1	1	1
DNAH10	1	0	0	0	0	1	1	1
DNAH14	1	0	0	0	0	1	1	1
DNAH2	1	0	0	0	0	1	1	1
DNAH5	1	0	0	0	0	1	1	1
DNAH7	1	0	0	0	0	1	1	1
DNAJC10	0	0	0	1	0	1	1	1
DNAJC18	0	0	0	1	0	1	1	1
DNAJC7	1	0	0	0	0	1	1	1
DNER	1	0	0	0	0	1	1	1
DNMT3L	1	0	0	0	0	1	1	1
DOC2A	1	0	0	0	0	1	1	1
DOCK3	1	0	0	0	0	1	1	1
DOCK5	1	0	0	0	0	1	1	1
DOK5	0	1	0	0	0	1	1	1
DPH6	1	0	0	0	0	1	1	1
DPP10	1	0	0	0	0	1	1	1
DPPA4	1	0	0	0	0	1	1	1
DPY19L2	1	0	0	0	0	1	1	1
DPY19L2P2	0	0	0	1	0	1	1	1
DPYS	1	0	0	0	0	1	1	1
DRC1	1	0	0	0	0	1	1	1
DRG2	1	0	0	0	0	1	1	1
DSC1	1	0	0	0	0	1	1	1
DSCAML1	1	0	0	0	0	1	1	1
DSCC1	1	0	0	0	0	1	1	1
DSG3	1	0	0	0	0	1	1	1
DSG4	1	0	0	0	0	1	1	1
DSPP	1	0	0	0	0	1	1	1
DTX1	1	0	0	0	0	1	1	1
DUOX1	1	0	0	0	0	1	1	1
DUSP13	1	0	0	0	0	1	1	1
DUSP16	1	0	0	0	0	1	1	1
DUSP27	1	0	0	0	0	1	1	1
DYNC1H1	1	0	0	0	0	1	1	1
DYRK1A	1	0	0	0	0	1	1	1
DYRK1B	0	0	0	1	0	1	1	1
EBF1	1	0	0	0	0	1	1	1
EBF3	1	0	0	0	0	1	1	1
ECSCR	1	0	0	0	0	1	1	1
EDA	1	0	0	0	0	1	1	1
EDRF1	0	0	0	1	0	1	1	1
EFHB	1	0	0	0	0	1	1	1
EFHC1	1	0	0	0	0	1	1	1
EFHD1	0	0	1	0	0	1	1	1
EFNB1	1	0	0	0	0	1	1	1
EFR3B	1	0	0	0	0	1	1	1
EGFL7	1	0	0	0	0	1	1	1
EGR1	1	0	0	0	0	1	1	1
EHD1	1	0	0	0	0	1	1	1
EHMT1	1	0	0	0	0	1	1	1
EIF1	1	0	0	0	0	1	1	1
EIF2B4	1	0	0	0	0	1	1	1
EIF2B5	1	0	0	0	0	1	1	1
EIF2S2	1	0	0	0	0	1	1	1
EIF3B	0	0	0	1	0	1	1	1
EIF3D	1	0	0	0	0	1	1	1
EIF3E	0	1	0	0	0	1	1	1
EIF3L	1	0	0	0	0	1	1	1
EIF4A2	1	0	0	0	0	1	1	1
ELAVL2	0	1	0	0	0	1	1	1
ELFN1	1	0	0	0	0	1	1	1
EMC1	1	0	0	0	0	1	1	1
EML1	1	0	0	0	0	1	1	1
EML2	1	0	0	0	0	1	1	1
ENAM	1	0	0	0	0	1	1	1
ENC1	1	0	0	0	0	1	1	1
ENO1	1	0	0	0	0	1	1	1
ENOSF1	1	0	0	0	0	1	1	1
ENPEP	1	0	0	0	0	1	1	1
ENTPD5	1	0	0	0	0	1	1	1
EPB41L1	1	0	0	0	0	1	1	1
EPC2	1	0	0	0	0	1	1	1
EPHA2	1	0	0	0	0	1	1	1
EPHA4	0	1	0	0	0	1	1	1
EPHA7	1	0	0	0	0	1	1	1
EPHB1	1	0	0	0	0	1	1	1
EPHB2	1	0	0	0	0	1	1	1
EPHX1	1	0	0	0	0	1	1	1
EPHX2	1	0	0	0	0	1	1	1
EPPK1	1	0	0	0	0	1	1	1
EPS8L1	1	0	0	0	0	1	1	1
EPS8L2	1	0	0	0	0	1	1	1
ERCC6L2	1	0	0	0	0	1	1	1
ERG	1	0	0	0	0	1	1	1
ERICH1	1	0	0	0	0	1	1	1
ERICH3	1	0	0	0	0	1	1	1
ESPL1	1	0	0	0	0	1	1	1
ESPN	1	0	0	0	0	1	1	1
ESR2	1	0	0	0	0	1	1	1
ESRP1	1	0	0	0	0	1	1	1
ESYT3	1	0	0	0	0	1	1	1
ETAA1	1	0	0	0	0	1	1	1
ETFDH	1	0	0	0	0	1	1	1
ETS2	1	0	0	0	0	1	1	1
ETV5	0	1	0	0	0	1	1	1
EXOC3L1	1	0	0	0	0	1	1	1
EXOC3L4	1	0	0	0	0	1	1	1
EXOC4	1	0	0	0	0	1	1	1
EXOSC5	1	0	0	0	0	1	1	1
EXPH5	1	0	0	0	0	1	1	1
EXT1	1	0	0	0	0	1	1	1
EXTL3	1	0	0	0	0	1	1	1
F11	1	0	0	0	0	1	1	1
F7	1	0	0	0	0	1	1	1
FAF1	1	0	0	0	0	1	1	1
FAF2	0	0	0	1	0	1	1	1
FAM104A	1	0	0	0	0	1	1	1
FAM107B	1	0	0	0	0	1	1	1
FAM124A	1	0	0	0	0	1	1	1
FAM134B	1	0	0	0	0	1	1	1
FAM135B	1	0	0	0	0	1	1	1
FAM13A	0	0	0	1	0	1	1	1
FAM155A	1	0	0	0	0	1	1	1
FAM161B	1	0	0	0	0	1	1	1
FAM162B	1	0	0	0	0	1	1	1
FAM178B	1	0	0	0	0	1	1	1
FAM179A	1	0	0	0	0	1	1	1
FAM181B	1	0	0	0	0	1	1	1
FAM184B	1	0	0	0	0	1	1	1
FAM189B	1	0	0	0	0	1	1	1
FAM198B	1	0	0	0	0	1	1	1
FAM19A1	1	0	0	0	0	1	1	1
FAM205A	0	1	0	0	0	1	1	1
FAM208B	1	0	0	0	0	1	1	1
FAM212B	1	0	0	0	0	1	1	1
FAM227A	1	0	0	0	0	1	1	1
FAM26E	1	0	0	0	0	1	1	1
FAM35A	1	0	0	0	0	1	1	1
FAM47A	1	0	0	0	0	1	1	1
FAM47B	1	0	0	0	0	1	1	1
FAM47C	1	0	0	0	0	1	1	1
FAM47E-STBD1	1	0	0	0	0	1	1	1
FAM50A	1	0	0	0	0	1	1	1
FAM69C	1	0	0	0	0	1	1	1
FAM73B	1	0	0	0	0	1	1	1
FAM81B	1	0	0	0	0	1	1	1
FAM9A	1	0	0	0	0	1	1	1
FANCE	1	0	0	0	0	1	1	1
FANCG	1	0	0	0	0	1	1	1
FANCL	1	0	0	0	0	1	1	1
FANCM	0	1	0	0	0	1	1	1
FARP1	1	0	0	0	0	1	1	1
FARSB	0	1	0	0	0	1	1	1
FASN	1	0	0	0	0	1	1	1
FAT2	1	0	0	0	0	1	1	1
FAU	1	0	0	0	0	1	1	1
FBLN1	1	0	0	0	0	1	1	1
FBN1	1	0	0	0	0	1	1	1
FBN2	1	0	0	0	0	1	1	1
FBRSL1	1	0	0	0	0	1	1	1
FBXL20	1	0	0	0	0	1	1	1
FBXO15	1	0	0	0	0	1	1	1
FBXO18	1	0	0	0	0	1	1	1
FBXW12	1	0	0	0	0	1	1	1
FCN2	1	0	0	0	0	1	1	1
FEM1B	1	0	0	0	0	1	1	1
FGF16	1	0	0	0	0	1	1	1
FGF21	1	0	0	0	0	1	1	1
FGFR2	1	0	0	0	0	1	1	1
FGFR4	1	0	0	0	0	1	1	1
FGGY	0	0	0	1	0	1	1	1
FILIP1	1	0	0	0	0	1	1	1
FKBP5	1	0	0	0	0	1	1	1
FKBP6	1	0	0	0	0	1	1	1
FKRP	1	0	0	0	0	1	1	1
FLNA	1	0	0	0	0	1	1	1
FLRT1	1	0	0	0	0	1	1	1
FLVCR1	1	0	0	0	0	1	1	1
FMNL2	1	0	0	0	0	1	1	1
FMO2	1	0	0	0	0	1	1	1
FN1	1	0	0	0	0	1	1	1
FNDC7	1	0	0	0	0	1	1	1
FNIP1	1	0	0	0	0	1	1	1
FNTB	1	0	0	0	0	1	1	1
FOXA1	1	0	0	0	0	1	1	1
FOXA3	1	0	0	0	0	1	1	1
FOXD4	1	0	0	0	0	1	1	1
FOXD4L1	1	0	0	0	0	1	1	1
FOXO1	1	0	0	0	0	1	1	1
FOXP4	1	0	0	0	0	1	1	1
FOXS1	1	0	0	0	0	1	1	1
FPGT	1	0	0	0	0	1	1	1
FREM1	1	0	0	0	0	1	1	1
FRMD3	1	0	0	0	0	1	1	1
FRMD4B	0	1	0	0	0	1	1	1
FRMPD4	1	0	0	0	0	1	1	1
FSD1	1	0	0	0	0	1	1	1
FUT4	1	0	0	0	0	1	1	1
FZD1	1	0	0	0	0	1	1	1
FZD7	1	0	0	0	0	1	1	1
G2E3	1	0	0	0	0	1	1	1
GABRB1	1	0	0	0	0	1	1	1
GABRR3	1	0	0	0	0	1	1	1
GAL3ST1	1	0	0	0	0	1	1	1
GALNT1	1	0	0	0	0	1	1	1
GAS6	1	0	0	0	0	1	1	1
GATA3	1	0	0	0	0	1	1	1
GBA	0	1	0	0	0	1	1	1
GBX2	1	0	0	0	0	1	1	1
GC	1	0	0	0	0	1	1	1
GCM2	1	0	0	0	0	1	1	1
GCNT1	1	0	0	0	0	1	1	1
GCNT7	1	0	0	0	0	1	1	1
GDI1	1	0	0	0	0	1	1	1
GDPD4	1	0	0	0	0	1	1	1
GFPT1	1	0	0	0	0	1	1	1
GGNBP2	1	0	0	0	0	1	1	1
GGPS1	1	0	0	0	0	1	1	1
GH1	1	0	0	0	0	1	1	1
GHR	0	1	0	0	0	1	1	1
GHSR	0	1	0	0	0	1	1	1
GLB1L3	1	0	0	0	0	1	1	1
GLI1	1	0	0	0	0	1	1	1
GLI2	1	0	0	0	0	1	1	1
GLIS1	1	0	0	0	0	1	1	1
GLP2R	1	0	0	0	0	1	1	1
GLS	1	0	0	0	0	1	1	1
GLTSCR1	1	0	0	0	0	1	1	1
GLTSCR1L	1	0	0	0	0	1	1	1
GLYR1	1	0	0	0	0	1	1	1
GML	1	0	0	0	0	1	1	1
GNB1L	1	0	0	0	0	1	1	1
GNL2	1	0	0	0	0	1	1	1
GOLGA6L6	1	0	0	0	0	1	1	1
GOPC	1	0	0	0	0	1	1	1
GP9	1	0	0	0	0	1	1	1
GPAT2	1	0	0	0	0	1	1	1
GPATCH2L	1	0	0	0	0	1	1	1
GPC6	1	0	0	0	0	1	1	1
GPCPD1	0	1	0	0	0	1	1	1
GPN3	1	0	0	0	0	1	1	1
GPR149	1	0	0	0	0	1	1	1
GPR156	1	0	0	0	0	1	1	1
GPR171	1	0	0	0	0	1	1	1
GPR34	1	0	0	0	0	1	1	1
GPR50	1	0	0	0	0	1	1	1
GPRASP1	1	0	0	0	0	1	1	1
GPRIN2	1	0	0	0	0	1	1	1
GPX5	1	0	0	0	0	1	1	1
GRB2	1	0	0	0	0	1	1	1
GRIN2A	1	0	0	0	0	1	1	1
GRIN2B	1	0	0	0	0	1	1	1
GRIN2C	1	0	0	0	0	1	1	1
GRIN3A	1	0	0	0	0	1	1	1
GRM1	1	0	0	0	0	1	1	1
GRM2	1	0	0	0	0	1	1	1
GRM4	1	0	0	0	0	1	1	1
GRM7	1	0	0	0	0	1	1	1
GRN	1	0	0	0	0	1	1	1
GSTA3	1	0	0	0	0	1	1	1
GTDC1	1	0	0	0	0	1	1	1
GUF1	1	0	0	0	0	1	1	1
GULP1	1	0	0	0	0	1	1	1
H1FOO	1	0	0	0	0	1	1	1
H3F3A	1	0	0	0	0	1	1	1
HAO1	1	0	0	0	0	1	1	1
HARBI1	1	0	0	0	0	1	1	1
HCAR2	1	0	0	0	0	1	1	1
HCN1	1	0	0	0	0	1	1	1
HCRTR2	1	0	0	0	0	1	1	1
HDAC8	1	0	0	0	0	1	1	1
HDAC9	1	0	0	0	0	1	1	1
HDDC2	1	0	0	0	0	1	1	1
HDX	1	0	0	0	0	1	1	1
HEATR5A	0	1	0	0	0	1	1	1
HECW1	1	0	0	0	0	1	1	1
HECW2	1	0	0	0	0	1	1	1
HELT	1	0	0	0	0	1	1	1
HELZ2	1	0	0	0	0	1	1	1
HEMK1	1	0	0	0	0	1	1	1
HEPH	1	0	0	0	0	1	1	1
HEPHL1	1	0	0	0	0	1	1	1
HERC4	1	0	0	0	0	1	1	1
HGH1	0	1	0	0	0	1	1	1
